微博正文,微博正文,#上海国际电影节# 排片表来啦！6/5 8:00 ?调好，拼手速！http://t.cn/A6Vl6dmD @上海国际电影节 ?原图?,手可摘星辰定义未来十年，精品内容新方向金钥匙??创投计划好喜欢这个LOGO好喜欢这种态度好喜欢这样的携手同行好期待，繁星满天张一白 徐峥 郭帆 韩寒 文牧野 ??电影长片or中短剧集??报名戳??http://t.cn/A6V06uRV ?原图?,第24届上海国际电影节金爵奖主竞赛单元、动画片单元、纪录片单元、短片单元评委会 ?[组图共15张]?原图?,名场面+因果论，有木有呀！最后，周王落寞，盛将军完胜，盛傅CP终成眷属#电视剧骊歌行##许凯骊歌行# ?[组图共6张]?原图?,第二十七届上海电视节将于2021年6月6日至10日举办。本届电视节白玉兰奖中国电视剧类别入围名单如下： ?[组图共10张]?原图?,爱了 ?[组图共4张]?原图?,小辰光过年额米道……花菜肉片，芹菜鱿鱼，苔条花生，熏鱼，糖醋小排，咖喱芋艿，蒸臭豆腐，榨菜血汤，香莴笋，肚皮，烤麸，素鸡……阳春面，葱油拌面，冷馄饨，样样有……吃了个遍听老板回忆老虎灶，混堂浴室，茶楼小开……念想这玩意，真是个好东西 上海·逸桂禾 ?显示地图?[组图共6张]?原图?,今年SIFF最期待——新世纪福音战士新剧场版的前三部《新世纪福音战士新剧场版：序》、《新世纪福音战士新剧场版：破》、《新世纪福音战士新剧场版：Q》，在期待《新世纪福音战士新剧场版：终》正式引进的同时，让我们走进影院，先在大银幕上感受一下前三部的魅力吧。 ?[组图共3张]?原图? 
#陈秀丽[超话]##陈秀丽# 我生的你怎么那么美周末愉快 ?原图?,#陈秀丽[超话]##陈秀丽# 周末啦好开心 可以出门见朋友聚餐了 ?[组图共4张]?原图?,#陈秀丽[超话]##陈秀丽# 今天煮了海鲜意大利面太崇拜自己了 ?[组图共3张]?原图?,#陈秀丽[超话]##陈秀丽# 他说我的头发是自然卷长这么大第一次知道原来自己是卷发#理发店# ?[组图共3张]?原图?,好美的小昭????。当年就是贾静雯、高圆圆都在身边，也不能掩盖老娘的美貌 UP主: 旧时_城里#bilibili# 当年就是贾静雯、高圆圆都在身边，也不能掩盖老娘的美貌 (哔哩哔哩客户端下载 http://t.cn/Ai1eB8sg) ?,"#陈秀丽[超话]##陈秀丽# 3个月前报名一所拉丁舞学校进入每星期五天的课，每堂课3小时，周末五小时。学习是辛苦的，开始的课很难 需要磨合的部分理解身体构造 手脚协调 模仿老师的动作也很难 我和厕所的门跳了十小时的舞只为了搞懂一个动作后期的课也很难 昨天的课 难到一度听不见音乐 只是在专注身体 原来专注力是那么神奇的事 身体逐渐变柔软 自己也可以掌握局部的身体舞步逐渐纯熟 一些动作也学会了三个月是一圈的过程 身体会给你回报最近老师和同学开始给我掌声了 信心逐渐变强 我不是菜鸟了 我是班上努力学好舞的small potato, 三个月前的努力 三个月后看成绩期待下个三个月之前两年的跑步训练 把我的心肺练的比一般人强壮 跑步需要核心 跳舞也是 有力的腿帮助我的舞稳一点 五小时的课也可以顺利完成我觉得跑步和跳舞的人是一样的 不介意身体面对运动伤害 腰酸背痛 腿酸第二天睡醒又是一条龙 又跑去运动了运动释放腓肽 被称为快乐因子每天努力找找快乐因子就可以忘记烦恼一起快乐起来            ?[组图共2张]    ??原图                        ?    ",#陈秀丽[超话]##陈秀丽##520快乐# 看着别人撒狗粮我还是好好吃饭 好好睡觉 好好写论文好好弹琴 好好练舞 好好爱亲人感恩每一天520 ?[组图共10张]?原图?,#陈秀丽[超话]##陈秀丽# 明天520 要庆祝嘻嘻 ?[组图共2张]?原图?,#我的会员报告# 我在4月会员报告实力夺得【低调的C位担当】的称号，66666！幸运的宝宝还能领取本月专享特权呦~你也来看看吧~2021年04月微博会员报告 ?,#陈秀丽[超话]##陈秀丽# 送颗爱心??传达爱心给身边的人最近很积极练琴 减压和兴趣 ?[组图共9张]?原图?
#陈秀丽[超话]##陈秀丽# 等人顺便自拍 怎么这么美图三以后转自微博 ?[组图共9张]?原图?,#陈秀丽[超话]##陈秀丽# 芭蕾特别课结束了扭头华丽转身 以后要继续练习#芭蕾# 5月9号和女儿们同一天的芭蕾照片 陈秀丽630的微博视频 ?,#陈秀丽[超话]##陈秀丽# 我的礼物咧？母亲节快乐 ?[组图共9张]?原图?,#陈秀丽[超话]##陈秀丽# 学习钢琴改变了我对音乐的认知和本性变得有耐心跳舞让我认识身体个个部位的掌握和我对音乐的情感深度了解跑步让让我学会运用呼吸可以几小时坚持跑完全马 ?[组图共3张]?原图?,#陈秀丽[超话]##陈秀丽# 迎接夏天这个冬天过的很难忘新的环境 新的朋友 很开心 ?[组图共6张]?原图?,#陈秀丽[超话]##陈秀丽# 我们仨今天跳芭蕾好好笑 ?[组图共6张]?原图?,#陈秀丽[超话]##陈秀丽# 我的新偶像 吕不韦 戏精每场戏都以不同方式来诠释 我长知识了@电视剧大秦赋 @段奕宏 ?[组图共3张]?原图?,#陈秀丽[超话]##陈秀丽# 五一快乐舞的一天回家赶论文 ?[组图共2张]?原图?,#陈秀丽[超话]##陈秀丽# 周末啦 好开心啊准备出门哦 ?[组图共3张]?原图?,#陈秀丽[超话]##陈秀丽# 世界舞蹈日今天连续练了1小时20分钟 纪念一下今天晚上上课继续练舞 ?[组图共4张]?原图?
#陈秀丽[超话]##陈秀丽# 叶子的离去，是风的追求还是树的不挽留你们觉得呢？ ?[组图共4张]?原图?,#陈秀丽[超话]##陈秀丽##秀丽随笔##芭蕾# 为了调整体态 身体往上延伸 不要驼背 要收腹 挺直 老师用心良苦帮我们调姿势今天我把棍子带回家练习走在大街经过一个大爷看到我的棍子 问我棍子可以擀面粉嘛 把我笑乐了 ?[组图共2张]?原图?,#陈秀丽[超话]##陈秀丽##秀丽随笔##芭蕾# 第二堂芭蕾课觉得有点模样了???????? 陈秀丽630的微博视频 ?,#陈秀丽[超话]##陈秀丽##秀丽随笔##芭蕾# 第一次上芭蕾课 核心收紧 胸肩上提 肩膀往下 大腿夹紧 不要有缝腹部收紧 背部挺直 头部挺直 所有姿势都是有反方向的拉伸  转圈和脚板是没关系的 神奇吧 今天受教了 陈秀丽630的微博视频 ?,#陈秀丽[超话]##陈秀丽# 舞以前每次坐飞机或火车到一个城市到达一定去找按摩师傅放松身心自从练舞之后 身体一直处在放松的姿态练舞身体会变柔韧变好大家一起舞起来#芭蕾舞##拉丁舞##秀丽随笔# ?[组图共2张]?原图?,"#陈秀丽[超话]##陈秀丽##秀丽大学日记##艺术鉴赏 #大学艺术历史这两位是男Memi,女Sabu这是古埃及艺术品 做于2575B.C.高度6.2米，宽24.5， 深度16公分，28.8公斤重这是石雕从他们服饰可以看出不是豪门官员Memi的手盖在妻子胸部 右手握着东西感觉像是武器 可见以前都需要武器护身他身材魁梧 也比妻子高 服饰简单没穿鞋Sabu 的手搂着老公的腰部 可见感情很好她的身材瘦小 但是四肢不瘦 估计以前劳动和走路比较多，头发细节也比较多了 这时候的雕像细节比较多了脚部有些雕像如鸟、叶子、刀等这些都表示以前出现的物品目前雕像展示在 The Metropolitan Museum of Art位于纽约，是世界最大的艺术博物馆#florenceart            ?[组图共3张]    ??原图                        ?    ",#陈秀丽[超话]##陈秀丽##秀丽大学日记##艺术历史 #Arthistory古罗马和希腊是大家向往的旅游城市 很多建于2000多年前比如 The Parthenon建于447 BC这城市保留很多古代的建筑虽然被战火烧了很多次 但是还是保留部分完整很多建筑设计也影响现代设计风格柱子设计有很多图案增加设计感男的雕像叫Kouros 女生叫Kore瓶子设计喜爱用红黑色雅典和Sparta的战火毁坏了很多人和建筑在古罗马The Pantheon非常有名，位于大街上的位置 里面屋顶空一个洞 在当时是相当前卫 目前供游客参观和教堂 门外有些歌唱家在唱歌和玩乐器            ?[组图共12张]    ??原图                        ?    ,#陈秀丽[超话]##陈秀丽##秀丽大学日记##累# 四大论文交了就是一堆讨论区没去发言 会被扣分功课做不完有什么后果嘛不求第一 只求及格永远做不完的功课继续写两篇 明天中午前要交 ?[组图共2张]?原图?,#陈秀丽[超话]##陈秀丽#被拍了 呵呵 ?[组图共2张]?原图?,#陈秀丽[超话]##陈秀丽# 每天一个苹果 医生远离我#赶功课# ?[组图共2张]?原图?
#陈秀丽[超话]##陈秀丽##秀丽美食# 午餐点了炸螃蟹汉堡 ?[组图共4张]?原图?,#陈秀丽[超话]##陈秀丽# 我终于有夏天衣服穿了#谢谢二姐夫送行李来# ?原图?,#陈秀丽[超话]##陈秀丽# 和二姐夫的约会 ?[组图共9张]?原图?,"#陈秀丽[超话]##陈秀丽##秀丽大学日记##秀丽艺术##Artflorence##图画鉴赏# 这幅画是一个母亲和孩子构图分三个部分 草地 建筑和天空 横看颜色采用蓝色 米色和巧克力太阳来自左上方可以看到影子妈妈的头 手臂和小孩是同一倾斜妈妈的脸部很润滑和建筑接近 而且慈爱左边构图以树为主 用毛刷 右边以建筑立体为主右边有动物看出那个年代的生活方式妈妈的蓝色衣服有镶金边云朵和山脉以间接色系看出远近效果人物占了三分之一的构图 金字塔 很和谐刷子用了柔和在人物和建筑、粗旷在草地 实线在建筑 点刷在叶子 和云朵这是一副好图 你看懂了吗？#ArtflorenceGiovanni Bellini, Madonna of the Meadow, c. 1500, oil and egg on synthetic panel, transferred from wood, 67.3 x 86.4 cm (The National Gallery) Speakers: Dr. Steven Zucker and Dr. Beth Harris.            ?[组图共3张]    ??原图                        ?    ","#陈秀丽[超话]##陈秀丽##秀丽艺术# 当初皇宫找Michelangelo来画屋顶这幅画的时候，画家是拒绝的。2019年我在Vatican City参观这幅画的时候有门卫看守，不可以拍照 逗留时间限制。今天在课本读到它了 多兴奋啊！Michelangelo, Ceiling of the Sistine Chapel (detail), 1508-12, Vatican, Rome, photo: Kent G Becker (CC BY-NC-ND 2.0)With complex works, this can soon raise interpretive quandaries. Take, for example, Michelangelo’s famous frescos on ceiling of the Sistine Chapel. Are these highly original paintings best understood in relation to the function of the chapel (a key ritual site in the Vatican palace), or the concerns of the painter, Michelangelo, or of the patron, Pope Julius II, or of one or more of the Julius’s advisors at the papal court? The answer is likely some combination of these, but the contextual materials relevant to each are so vast and diverse that there is no one way to interpret them.#Artflorence            ?[组图共9张]    ??原图                        ?    ",#我的会员报告# 嚯！3月会员报告说我是【潇洒的微博达人】，明明可以靠脸吃饭，偏偏要靠才华! 幸运的宝宝还能领取本月专享特权呦！快来看看你的吧!  2021年03月微博会员报告 ?,#陈秀丽[超话]##陈秀丽# 今天开学了 很开心过了一个小假期谢绝一切娱乐活动 除了跳舞练习新学期是自己喜欢修的一个科目 艺术历史课好期待新学期 祝我每星期学习准时交论文 ?[组图共10张]?原图?,#陈秀丽[超话]##陈秀丽# 最可爱的舞蹈老师 爱你么么哒 ?[组图共4张]?原图?,#陈秀丽[超话]##陈秀丽##怀念张国荣# 好想你 今晚听你的歌睡图片转发 ?[组图共9张]?原图?,#陈秀丽[超话]##陈秀丽# 美嘛 ?原图?
#陈秀丽[超话]##陈秀丽# 不是读书就是练舞 进修中 ?[组图共3张]?原图?,@樊登读书官方号 多读书 让思绪豁达 少纠结 ?原图?,#陈秀丽[超话]##陈秀丽# 今天早餐 鸡蛋煎饼加奶茶 陈秀丽630的微博视频 ?,#陈秀丽[超话]##陈秀丽# 致：自己勤于读书 苦于练舞  闲于钢琴不管做什么 都不要急于回报，因为播种和收获不在同一个季节，中间隔着的一段时间，我们叫它为：坚持。 —人间杂货铺—- ?[组图共11张]?原图?,#陈秀丽[超话]##陈秀丽##秀丽大学日记# 中午一点一到大部分论文都交了 还有两篇明天中午交 现在赶紧写今天早餐两个馒头一个叉烧包加黑咖啡午餐梅菜扣肉饭搭配番茄和菜配菊花茶为什么看其他人都在吃沙拉配麦片一个姑娘吃成这样不会太夸张吧你们吃什么 ?[组图共3张]?原图?,#陈秀丽[超话]##陈秀丽##秀丽随笔# 它叫啵啵 公狗 大约两岁的流浪泰迪狗朋友捡到就养着然后大家安排新家庭给它这天找到一户好人家家里有院子和四条狗 啵啵会过上无忧无虑的好日子它很活泼 也很粘人 晚上要靠近人类 不要独自被关遛狗的时候它很活泼去尿尿 但是很快跑回来深怕我们把它扔了 特别没有安全感它很聪明也听话 不太会叫它是啵啵 祝福它以后日子安康幸福            ?[组图共2张]    ??原图                        ?    ,#陈秀丽[超话]##陈秀丽# 减法生活 多读书 多体验饭粒多好吃多在大自然呆一会儿 ?[组图共2张]?原图?,#陈秀丽[超话]##陈秀丽# 不干活 就没饭吃幸好我备了很多米干饭人要吃饭???? ?[组图共3张]?原图?,#陈秀丽[超话]##陈秀丽# 觉得这张挺美#秀丽大学日记# 不是自己没有天天向上是课业太夸张今天星期三半夜赶论文???? 倒数12小时交功课 ?[组图共2张]?原图?,#陈秀丽[超话]##陈秀丽##秀丽大学日记# 读不完的书 写不完的论文把无聊的每天过的像诗 ?[组图共2张]?原图?
#陈秀丽[超话]##陈秀丽# 今天我亲弟弟生日祝他生日快乐 有空继续和我八卦人生百态 ?原图?,#陈秀丽[超话]##陈秀丽# 这是kizomba 拉丁舞之一老师要求不能用手来跳，靠感觉来看看效果吧！ 陈秀丽630的微博视频 ?,#陈秀丽[超话]##陈秀丽##秀丽美食# 我是饭桶我真的很爱吃饭耶#五常大米# ?[组图共3张]?原图?,#陈秀丽[超话]##陈秀丽##秀丽随笔##环保爱地球# 我的女神节也收获满满是爱心快乐满满第一次参加国内海边环保清垃圾队只能说真干净 就是很多槟榔袋子和香烟头一行人捡了31公斤的垃圾我想分享几件事。参与环保活动就是为了减碳、减少垃圾，再使用、再循环物品。我们应该以身作则，不买饮料制造塑料垃圾，自备水壶、自己带购物袋出门不索取塑料袋、不用一次性筷子杯子吸管、买咖啡带咖啡杯、旧衣服送人或二手卖不丢弃、不过度挥霍衣物、活的精致简约、不过度外卖 因为包装太多、可以就在餐厅吃或自己煮、少开车多用公共交通、不浪费食物、延续物品的生命和价值如旧手机电脑送人。不买垃圾袋 快递袋子食物袋子可以装垃圾。地球已经负荷不了我们的垃圾，小小分享爱地球。相片来自团队            ?[组图共9张]    ??原图                        ?    ,#陈秀丽[超话]##陈秀丽##女神节# 女神节特想最近忙于线上大学学习环境科学和心理学修读也幸运碰上很好的老师和同学学习拉丁舞自己终于在忙碌于工作的人生放慢脚步进入进修的阶段每天都很充实快乐 自己也有自我对话的空间和了解现代人的思维我发现身边很多人没有进入恋爱和结婚2021年了 大家思想独立 经济条件独立不需要依附谁 加上单身生活忙碌也多姿多彩人的一生 上学 工作结婚 生子 变老这是以前的生活方式作为过来人我想分享经历我觉得女孩儿对生活要有热忱、尝试、体验甜蜜失望伤心疼痛辛劳不够睡眠烦吵分身乏术孤独烦于应对婆家老板家人伴侣这些都是生命美妙的体验 长命快乐的人是被有需要感而活得快乐生命不应该只有安定 工作 烦累 聚餐 回家睡旅行爱好阅读朋友运动电影唱k抖音小红书淘宝虽然都是美好的也占据我们生活一大部分但是我们的心灵深处的七情六欲 喜怒哀乐不是应该多感受嘛我反对网络发布太多关于女人生孩子痛苦、不值得为男家生孩子 婚后被霸凌 彩礼谈不融若家长不适当放手给年轻人生活空间这不婚不谈恋爱会越来越严重只要你有能力过好单身 就有能力过好二人或三人世界女孩儿 恋爱是甜蜜失望痛苦孤独又甜蜜的有孩子是一天天看宝宝成长的愉悦和成就感孩子会长大 会去上学 自己的生活担子会轻松 时间会变多 我们只是陪伴孩子走一段路不要被网络荼毒思想谈恋爱是我一生的追求 为爱受偏体鳞伤也值得爱一回 找到合适的就结婚 没遇到就算了人生很多活法 不要和朋友一样工作 聚餐 累 回家睡觉。敢于尝试体验每一种不一样的活法你会有大大收获做个有工作 银行有存款 医疗有保险 身边有爱的家人朋友 有机会做好事回馈社会 心正善良的好女孩恋爱 结婚 生子 不必牵涉家长自己选择自己所爱 勇于追求 体验人生才不会活成一张白纸 国外的婚姻是小两口 婚戒指酒席房子车子小孩都是两夫妻的事 父母不会出一毛钱或多加干涉富豪的孩子结婚可能会有房子送 但是白领结婚都是靠自己 各国文化差异很大 自由婚恋不是人们应该自主和追求的嘛 父母过多干涉是不对的女孩儿 彩礼只有你们有的习俗 在国外没这事男女平等的那一天可能还要很久 敢于结婚生子工作储蓄理财 不乱花钱是我一向来做的事 一路有苦有甜这就是多姿多彩的人生女孩儿加油 好好体验人生每个不同阶段????#秀丽随笔##女神节#            ?[组图共3张]    ??原图                        ?    ,#陈秀丽[超话]##陈秀丽# 有没有想我们???? ?原图?,#陈紫函# 一直都只喜欢这一边的脸 就如同一个对事物的执念 其实 多个角度看待 才能真的达到自如轻松的面对生活 #陈紫函的碎片时光# ?[组图共6张]?原图?,#陈紫函[超话]##六一宝宝节#  我不想 我不想 不想长大 长大后世界就沒童话 #陈紫函的碎片时光# 陈紫函的微博视频 ?,#陈紫函[超话]##520心动瞬间##520心动营业中# 他们说我们这是“史密斯夫妇” [挤眼] @戴向宇的微博 ?[组图共9张]?原图?,#陈紫函[超话]##陈紫函戴向宇鹤然领证# 在我和@戴向宇的微博 结婚5周年之际，非常开心能和他一起成为@WHITOP电动牙刷官博 品牌代言人，被#WHITOP官宣天作之鹤CP# 而且还惊喜收到来自WHITOP和向宇的传情鹤礼：『新装上市小仙鹤』，颜值寓意都很可  这届520，给他打120分！也希望我们同款小仙鹤能将『天作之鹤』美好寓意传递给大家~ 陈紫函的微博视频                            ?    
#陈紫函[超话]##星星调查##我的今日份工作餐# 拍摄这段时间 助理每天给我做饭 我都胖了[猪头] #陈紫函的碎片时光# ?原图?,#陈紫函[超话]##陈紫函短发牛仔大片##陈紫函的碎片时光# 夏天来了 只能在杂志大片里 换个不同感觉的短发 [酷] ?[组图共9张]?原图?,#陈紫函[超话]##陈紫函的碎片时光#  欢乐和谐的剧组 时隔一年难得的相聚 感谢“山人”们的热情 被你们爱着很幸福[心]#陈紫函的vlog# 陈紫函的微博视频 ?,#陈紫函[超话]##今日宜微笑#  烈日下拍户外戏与茶饮最配 多惨多累大家也要笑一个[嘻嘻] ?[组图共3张]?原图?,#陈紫函[超话]# 喜丧鬼穿越到现代了 还是一样很惨 [裂开] ?[组图共6张]?原图?,#陈紫函[超话]# 发散性思维收一收～我在我自己的世界里平平静静的挺好～喜欢分很多种——希望优秀的人一帆风顺 请不要过度解读 陈紫函的微博视频 ?,#陈紫函[超话]##山河令主题演唱会# 结束了第二场主题演唱会 真的要与大家告别了 我们江湖再见[作揖] 陈紫函的微博视频 ?,#陈紫函[超话]##山河令演唱会去现场主题视频##山河令主题演唱会#  这人间好不热闹 走 去现场！ 陈紫函的微博视频 ?,#陈紫函[超话]# [挤眼]这段时间忙碌的拍戏生活 这两天苏州之行简直就是放假一样 和大家聚在一起 真的很开心 ....今晚连夜得赶回横店继续搬砖了 ?[组图共10张]?原图?,#陈紫函[超话]##山河令演唱会#  #山河令演唱会倒计时# 时隔一年 再次穿上戏服 还有二十分钟 我们马上演唱会现场见 期待我今晚有怎样的惊喜吗[打call] 陈紫函的微博视频 ?
#陈紫函[超话]##山河令主题演唱会#  #山河令演唱会倒计时# 马上就要开始了 演唱会开始倒计时1小时 有彩蛋 不见不散 ?[组图共6张]?原图?,#陈紫函[超话]# 忙着丛林里拍戏 好久沒更新了 就来个九宫格吧 明天抽空回北京做个直播 不见不散[耶] ?[组图共9张]?原图?,#陈紫函[超话]# 4.23 #世界阅读日#   “我读书很猛”之 #想和你同阅一本书# 公益阅读挑战开赛 猛读者们将和自己的伙伴同读4h23min 一起围观 一起支持“希望工程幕天亲子阅读”项目 助力乡村孩子阅不孤读吧 ??@中国青少年发展基金会 @幕天公益 @微公益 ?原图?,#陈紫函[超话]# 横店我又来了 早起围读中 好多天没怎么睡了 咖啡茶也扛不住我的困[裂开] ?[组图共4张]?原图?,#陈紫函[超话]##山河令演员集体团建##山河令主题演唱会官宣# 在线征集：第一次团建我表演啥？ 喜丧鬼下一世应该只想简单快乐好好被爱 就唱首开心的歌吧 [酷] ?原图?,#陈紫函# 你不赞 我不赞 我发照片给谁看记得吃饭～ ?[组图共15张]?原图?,#陈紫函[超话]##活力过春天# 明年的春天我们再一起继续公益行… #陈紫函的vlog# 陈紫函的微博视频 ?,#陈紫函[超话]##花花奇遇记# 万物复苏，好事正酿。在人间四月天，#百美村宿# 马巷村的千亩杏林染上了粉白的春天气息。邀您和我共同关注@百美村宿 项目，助力乡村旅游产业发展，一起期待所有美好的发生~ @中国扶贫基金会 @微博县域 陈紫函的微博视频 ?,#陈紫函[超话]# 又一年生日过完了 时间真的过得好快啊 内心的感受换成几个字——愿好人一生平安！愿我妈妈的病也早日康复！ 陈紫函的微博视频 ?,#陈紫函[超话]# 公益生日行 又一次探访珍爱孤独症儿童康复中心 再次见到这些被唤为“星星的孩子” 感触很深 老师们也非常辛苦了 [心]昨天直播时很多人来问可以怎么帮助到他们 呆会我在评论里把详细地址和负责人电话发给大家 也感谢紫菜一直以来的陪伴 我会在这条微博设置抽奖  希望带给你们好运啦 #陈紫函0402生日快乐#            ?[组图共10张]    ??原图                        ?    
今天是我的生日，来祝福我吧！ ?,#陈紫函[超话]#   中国国际时装秀上好友设计师主题名为 QUEEN'S LOVE 的大秀 也好好的感受了一下北京的春意 #活力过春天##陈紫函的vlog# 陈紫函的微博视频 ?,陈紫函正在直播#微博live秀# 珍爱孤独症儿童 #活力过春天##陈紫函0402生日快乐# 陈紫函的微博直播 ?,#微博live秀##活力过春天# 明天下午15:30 我们一起走进珍爱孤独症儿童康复中心 过个有意义的生日 #陈紫函0402生日快乐#  直播预约 陈紫函的微博视频 ?,#陈紫函#?       「中国国际时装周」      ?          ·    陈紫函× 戴向宇    ·         ?神颜夫妇 闪耀秀场?         ??防腐冻龄 幸福满溢?? ?[组图共9张]?原图?,#陈紫函[超话]##山河令全员告别#虽然青崖山已经散场 但罗姨会一直在[心]#山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 这戏最大的遗憾就是打戏太少[允悲] 当时看这一集剧本 我问制片人马姐 喜丧鬼是死了吗 剧本里只描写她看到千巧被杀 想往前冲 后来倒下 眼前鬼谷变成一片红色 …  怎么不让我多打几下了 哈哈哈#陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##山河令女性群像# 有什么花样就冲我来 本座不怕 #山河令# ?[组图共6张]?原图?,#陈紫函[超话]# 这几天好累 没有睡好 似乎有些感冒 我可能稍微迟到会[给你小心心] ?原图?,#陈紫函[超话]# 好久没有发过自拍了 来 不要嫌太多 ?[组图共12张]?原图?
#陈紫函[超话]##idoltube# 阿行 纵然世人皆负你 罗姨会一直在[抱一抱]  #陈紫函山河令# http://t.cn/A6tDISN4 ?,#陈紫函[超话]##看见星视界# 感谢导演用拍MV一样的精致程度拍摄了喜丧鬼的出场 我知道在《山河令》里我只要负责“美”就好了 哈哈哈[酷]#陈紫函的vlog##陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 可算清醒了 推理王者上线[并不简单] 蝎王@李岱昆 你不是一个人上当受骗 鬼谷愿意收留心碎男孩以后跟着失恋联盟队长混！ #陈紫函山河令# http://t.cn/A6t1fTV2 ?,#陈紫函[超话]##idoltube# 剧中我最爱的造型上线 不错 看来离清醒也不远了  #陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 连着三集重复一句台词… 我应该快清醒了吧[允悲] #陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 喜丧鬼已经“疯”了多少集了？掐指一算还要几天才能恢复清醒了 哈哈哈哈 #陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 白发簿主在，朱裙寂寞红…唯一的欣慰是至少患难时刻见到了真情，果然只有千巧才是最爱我的人[抱一抱]我这个离魂症能不能快点好啊 #陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 喜丧鬼武力值还是很高的 如果不是忘记了吃药！唉 忍着头疼亲自提醒：生病的时候一定要按时吃药[顶]  下次再被抓 谁来救 #陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函#哈喽 女神节快乐 自信就是冻龄的配方 加油女神们 愿你们的一生永远走花路#陈紫函山河令##陈紫函白发造型# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 以为是个王者 不是被抓 就是在被抓的路上 整个一个美 惨 弱 因为 忘了吃药 哈哈 #陈紫函山河令# 陈紫函的微博视频 ?
#陈紫函[超话]#  我只需要记住 我还小[挤眼] 陈紫函的微博视频 ?,#陈紫函[超话]##陈紫函山河令##陈紫函白发造型# 感恩 热搜最高九 对于戏份不是那么多的“喜丧鬼”能够被大家认可 感恩 山河令所有演职人员 和网友的支持 谢谢?? ?[组图共3张]?原图?,#陈紫函[超话]##idoltube# 爱护下属是所有领导应当具备的品质 谷主 @龚俊Simon 你说是吗 [酷] 柳千巧 我是你的领导 我对你的爱护 你有感受到吧 陪伴是最长情的告白 @柯乃予 你会一直陪伴我吗  哈哈哈#陈紫函山河令# 陈紫函的微博视频 ?,#陈紫函[超话]##idoltube# 知道为什么本簿主可以在谷主面前这般横吗？[酷] 如果上司是疯批 那就比他更疯 #陈紫函白发造型# 陈紫函的微博视频 ?,好美的裙子????#上海时装周# 上海 陈美诗的微博视频 ?显示地图?,智叔，很榮幸曾經跟你一起演舞台劇。當時一個多月每天的排練，謝謝你啟發了我很多。一路走好，永遠懷念你 [蠟燭] ?原图?,分享图片 ?[组图共4张]?原图?,「我與兩老的日記 之 佩服」12/5/21媽媽：腦退化+柏金遜+糖尿病??後父：心臟病+糖尿病+老人癡呆?很久沒有寫與兩老的日記，因為兩老還在多倫多，不敢坐飛機回來...。媽媽每天的生活就是念經和抄經文。今天與她通電，覺得有一件正能量的事情應該要和大家分享。媽媽：「你看，我寫的字是否很...全文?[组图共4张]?原图?,要健康，一定要快樂！5月8日，這個星期六 晚上 9 PM我邀請了「健康與心態轉移導師」分享如何可以更快樂、更健康！Facebook & Youtube 直播見！Facebook : Astrid Chan 陳芷菁工作室YouTube： 陳芷菁 ?原图?,大家都希望更健康，以下是我的方法：用最精明的心態，去愛惜自己的身體。希望大家一起健康！ ?原图?
從前不做直播節目，因為我是一個內向的人，MBTI 的 I- Introversion.害怕同人太密切。。。很奇怪，對嗎？ 我是主持人，那是我的工作。我喜歡這份工作，所以站在那氛圍中很舒服。做了兩次直播後，我跳出了樽頸位，不害怕了。因為你們的回應，令我覺得這是一種新關係，是另一種友情的開始。很感...全文?原图?,有很多朋友問我什麼是蘋果果膠？對濕疹和紓緩癌症有幫助嗎？請留意4月21日，星期三，晚上 20:30 PM陳芷菁Youtube 和 Facebook 陳芷菁工作室 直播 ?原图?,「全民國家安全教育日2021」開幕典禮暨主題講座 ?[组图共3张]?原图?,MBTI 16 型人格極之深奧，因為有很多人做測試時，會不自覺將「理想我」放進答案，而非真我。另外，從前的型號，未必代表你不改變... 我都由S變了N...今集有小測試，看看你有沒有改變吧！ ?原图?,香港的兒童節快樂！ ?原图?,我是MBTI 中的Introversion 內向型， 你呢？ 內有兩條問題協助你了解自己是E 外向型還是I 內向型YouTube:  陳芷菁Astrid Chan ?原图?,考考你，發現到我有什麼改變嗎？ ?原图?,"做喜歡的事，時間便會過得特別快。6小時的training轉眼便過，但開始了的跨年代友情，只會延續下去，因為緣份需要珍惜。團隊精神, 下次再見！ #WorkshopOnEventManagement #Mindmapping#TeamSpirit #Leadership#PhotobyAbby ?[组图共8张]?原图?",微博正文,現代人離不開這些便利的用具，每次在享受精緻化的生活的同時，都有深深的憂慮，不知道未來孩子們會需要去面對怎樣的世界。把使用完的餐具疊起來，試圖讓垃圾空間少一點，心裏內疚小一咪咪。不取用吸管，商家如果還是給了，就儘量重複使用。塑膠袋當垃圾袋重複使用。每個人都做一點點，就能讓世界再好一點點[心]# 世界环境日   绿洲                ??原图                        ?    
